Store,Date,Gross Commissions,Commissions Percentage Tier 1,Commissions Tier 1,Commissions Percentage Tier 2,Commissions Tier 2,Total Commissions,Tax Preparation Revenue,Number of Tax Returns,Royalty Per Return,Tax Royalties,Net Tax Revenue,Total Revenue,Hourly Wages,Overtime,Bonus & Commissions,Payroll Taxes - ER,Workers Comp Insurance,Payroll Processing Fees,Policy Manager,Licenses and Permits,Rating Software,Motor Vehicle Reports,Loan Due From Franchisee,Minimum Royalty Fee,Servicing Fee,Trade Shows,Trust Acctg - A/R,Telephone,Postage,Television/Radio,Licenses & Permits,Trust Acct Shortage/Overage,Internet,On Hold Recording,Scanning Violation Fees,Deposit Violation Fees,Bad Debts,Print,Reimbursed Fees - Other,Gas,D&S Memberships,E&O Insurance,Rent,Supplies,Building/Office,Referral Fees,Small Equip Purchases Under$500,Small FF&E Under$500,Legal Fees,CAM Charges,Cell Phone,Security,Electricity,AR Violation Fees,Advertising,DOI Appointment Fees,Notes,DOI License Fee,Entrepreneur Magazine,Franchise Gator Leads,Franchise Guide Supplies,Franchise Times Magazine,Leads,SEO (Search Engine Optimization),Sign - Installment,Signature Pad,Other Transactions,Previous Unpaid Balance,Total Deductions,Balance Due To/(From) Franchise,Email,Email 2,Email 3,
CA008,1/31/2013,"$9,684.62",67.50%,"$6,537.12",,,"$6,537.12",$0.00,0,$0.00,$0.00,$0.00,"$6,537.12",,,,,,,$150.00,,,,,,,,$0.13,,,,,532.89,,,$25.00,$100.00,,,,,,$458.24,,,,,,,,,,,,$30.00,,,,,,,,,,,,,,,"$1,296.26","$5,240.86",fiestaca003@fiestainsurance.com,fiestaca008@fiestainsurance.com,acc@fiestainsurance.com,
CA009,1/31/2013,"$4,913.64",75.00%,"$3,685.23",,,"$3,685.23",$0.00,0,$0.00,$0.00,$0.00,"$3,685.23","$3,732.00",$99.00,"$2,640.00",$870.35,,,$150.00,,$232.75,,,,,,$636.70,$184.80,,,,"2,462.54",,,$50.00,,,,,,,$458.24,"$2,887.50",,,,,,,$572.38,,,$156.61,$40.00,,,,,,,,,,,,,,"$8,633.44","$15,172.87","-$20,121.08",fiestaca009@fiestainsurance.com,fiestaca009@fiestainsurance.com,acc@fiestainsurance.com,
CA010,1/31/2013,"$4,288.77",65.00%,"$2,787.70",,,"$2,787.70",$0.00,0,$0.00,$0.00,$0.00,"$2,787.70",,,,,,,$150.00,,,,$500.00,,,,$86.59,,,,,"1,628.19",,,,$250.00,,,,,,$458.24,,,,,,,,,,,,$40.00,,,,,,,,,,,,,,,"$3,113.02",-$325.32,fiestaca010@fiestainsurance.com,fiestaca010@fiestainsurance.com,acc@fiestainsurance.com,
CA011,1/31/2013,"$7,294.65",80.00%,"$5,835.72",,,"$5,835.72",$0.00,0,$0.00,$0.00,$0.00,"$5,835.72",,,,,,,$150.00,,,,,,,,$2.03,,,,,44.55,,,$25.00,,,,,,,$458.24,,,,,,,,,,,,$20.00,,,,,,,,,,,,,,,$699.82,"$5,135.90",fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,
CA012,1/31/2013,"$18,055.24",85.00%,"$2,596.95",80.00%,"$12,000.00","$14,596.95",$0.00,0,$0.00,$0.00,$0.00,"$14,596.95",,,,,,,$150.00,,,,,,,,-$126.00,,,,,-139.00,,,,$100.00,,,,,,$458.24,,,,,,,,,,,,$10.00,,,,,,,,,,,,,,,$453.24,"$14,143.71",fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,
CA013,1/31/2013,"$7,834.00",65.00%,"$5,092.10",,,"$5,092.10",$0.00,0,$0.00,$0.00,$0.00,"$5,092.10",,,,,,,$150.00,,,,,,,,"$1,499.67",,,,,433.84,,,,$100.00,,,,,,$458.24,,,,,,,,,,,,$120.00,,,,,,,,,,,,,,,"$2,761.75","$2,330.35",fiestaca013@fiestainsurance.com,fiestaca013@fiestainsurance.com,acc@fiestainsurance.com,
CA014,1/31/2013,"$7,190.43",80.00%,"$5,752.34",,,"$5,752.34",$0.00,0,$0.00,$0.00,$0.00,"$5,752.34",,,,,,,$150.00,,,,,,,,$0.10,,,,,302.00,,,,$50.00,,,,,,$458.24,,,,,,,,,,,,$10.00,,,,,,,,,,,,,,,$970.34,"$4,782.00",fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,
CA015,1/31/2013,"$10,284.24",80.00%,"$8,227.39",,,"$8,227.39",$0.00,0,$0.00,$0.00,$0.00,"$8,227.39",,,,,,,$150.00,,$232.75,,,,,,$52.00,$334.67,,,,0.01,,,,,,,,,,$458.24,"$3,977.55",,,,,,,$620.00,,$114.00,$213.50,$10.00,,,,,,,,,,,,,,,"$6,162.72","$2,064.67",fiestaca007@fiestainsurance.com,fiestaca007@fiestainsurance.com,acc@fiestainsurance.com,
CA016,1/31/2013,"$1,961.90",80.00%,"$1,569.52",,,"$1,569.52",$0.00,0,$0.00,$0.00,$0.00,"$1,569.52",,,,,,,$150.00,,,,,,,,,,,,,5.60,,,$25.00,,,,,,,$458.24,,,,,,,,,,,,,$640.00,,,,,,,,,,,,,,"$1,278.84",$290.68,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,
CA020,1/31/2013,"$5,645.46",65.00%,"$3,669.55",,,"$3,669.55",$0.00,0,$0.00,$0.00,$0.00,"$3,669.55",,,,,,,$150.00,,,,$562.98,,-$500.00,,$29.36,,,,,-48.16,,,$125.00,,,,,,,$458.24,,,,,,,,,,,,$10.00,,,,,,,,,,,,,,,$787.42,"$2,882.13",fiestaca020@fiestainsurance.com,fiestaca020@fiestainsurance.com,acc@fiestainsurance.com,
CA022,1/31/2013,"$2,745.52",80.00%,"$2,196.42",,,"$2,196.42",$0.00,0,$0.00,$0.00,$0.00,"$2,196.42",,,,,,,$150.00,,,,,,,,,,,,,10.00,,,,,,,,,,$458.24,,,,,,,,,,,,,,,,,,,,,,,,,,,$618.24,"$1,578.18",fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,
CA023,1/31/2013,"$5,947.68",80.00%,"$4,758.14",,,"$4,758.14",$0.00,0,$0.00,$0.00,$0.00,"$4,758.14",,,,,,,$150.00,,,,,,,,-$80.00,,,,,179.72,,,,$50.00,,,,,,$458.24,,,,,,,,,,,,,,,,,,,,,,,,,,,$757.96,"$4,000.18",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,
CA024,1/31/2013,"$6,489.89",80.00%,"$5,191.91",,,"$5,191.91",$0.00,0,$0.00,$0.00,$0.00,"$5,191.91",,,,,,,$150.00,,,,,,,,-$73.60,,,,,"1,046.52",,,,$100.00,,,,,,$458.24,,,,,,,,,,,,$10.00,,,,,,,,,,,,,,,"$1,691.16","$3,500.75",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,
CA025,1/31/2013,"$2,624.69",77.50%,"$2,034.13",,,"$2,034.13",$0.00,0,$0.00,$0.00,$0.00,"$2,034.13",,,,,,,$150.00,,,,,,,,$92.00,,,,,78.10,,,,$50.00,,,,,,$458.24,,,,,,,,,,,,$10.00,$213.08,,,,,,,,,,,,,,"$1,051.42",$982.71,fiestaca025@fiestainsurance.com,fiestaca025@fiestainsurance.com,acc@fiestainsurance.com,
CA026,1/31/2013,"$9,034.85",80.00%,"$7,227.88",,,"$7,227.88",$0.00,0,$0.00,$0.00,$0.00,"$7,227.88",,,,,,,$150.00,,,,,,,,$8.20,,,,,37.37,,,$25.00,$50.00,,,,,,$458.24,,,,,,,,,,,,$20.00,,,,,,,,,,,,,,,$748.81,"$6,479.07",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,
CA027,1/31/2013,"$6,942.12",75.00%,"$5,206.59",,,"$5,206.59",$0.00,0,$0.00,$0.00,$0.00,"$5,206.59",,,,,,,$150.00,,,,,,,,,,,,,57.05,,,,$50.00,,,,,,$458.24,,,,,,,,,,,,,,,,,,,,,,,,,,,$715.29,"$4,491.30",fiestaca027@fiestainsurance.com,fiestaca027@fiestainsurance.com,acc@fiestainsurance.com,
CA028,1/31/2013,"$7,776.29",80.00%,"$6,221.03",,,"$6,221.03",$0.00,0,$0.00,$0.00,$0.00,"$6,221.03",,,,,,,$150.00,,,,,,,,$54.00,,,,,-662.87,,,$25.00,,,,,,,$458.24,,,,,,,,,,,,$50.00,,,,,,,,,,,,,,,$74.37,"$6,146.66",fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,
CA030,1/31/2013,"$7,127.80",77.50%,"$5,524.04",,,"$5,524.04",$0.00,0,$0.00,$0.00,$0.00,"$5,524.04",,,,,,,$150.00,,,,,,,,-$208.96,,,,,"5,961.53",,,,$100.00,,,,,,$458.24,,,,,,,,,,,,$20.00,$270.41,,,,,,,,,,,,,,"$6,751.22","-$1,227.18",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,
CA031,1/31/2013,"$6,804.63",75.00%,"$5,103.47",,,"$5,103.47",$0.00,0,$0.00,$0.00,$0.00,"$5,103.47",,,,,,,$150.00,,,,,,,,,,,,,,,,,,,,,,,$458.24,,,,,,,,,,,,,$640.00,,,,,,,,,,,,,,"$1,248.24","$3,855.23",fiestaca031@fiestainsurance.com,fiestaca031@fiestainsurance.com,acc@fiestainsurance.com,
CA032,1/31/2013,"$6,257.47",80.00%,"$5,005.98",,,"$5,005.98",$0.00,0,$0.00,$0.00,$0.00,"$5,005.98",,,,,,,$150.00,,,,,,,,$0.80,,,,,217.88,,,,$50.00,,,,,,$458.24,,,,,,,,,,,,$10.00,,,,,,,,,,,,,,,$886.92,"$4,119.06",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,
CA033,1/31/2013,"$15,538.62",85.00%,$457.83,80.00%,"$12,000.00","$12,457.83",$0.00,0,$0.00,$0.00,$0.00,"$12,457.83",,,,,,,$150.00,,,,,,,,-$17.80,,,,,-3.50,,,,,,,,,,$458.24,,,,,,,,,,,,$30.00,$114.29,,,,,,,,,,,,,,$731.23,"$11,726.60",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,
CA034,1/31/2013,"$3,814.23",75.00%,"$2,860.67",,,"$2,860.67",$0.00,0,$0.00,$0.00,$0.00,"$2,860.67",,,,,,,$150.00,,,,,,,,-$55.00,$361.22,,,,,,,,,,,,,,$458.24,"$2,572.05",,,,,,,$408.89,,$114.00,$260.72,,,,,,,,,,,,,,,"$6,151.17","$4,270.12","-$7,560.62",fiestaca034@fiestainsurance.com,fiestaca034@fiestainsurance.com,acc@fiestainsurance.com,
CA035,1/31/2013,"$2,446.68",75.00%,"$1,835.01",,,"$1,835.01",$0.00,0,$0.00,$0.00,$0.00,"$1,835.01",,,,,,,$150.00,,,,,,,,$15.07,,,,$44.00,0.40,,,,,,,,,,$458.24,,,,,,,,,,,,$20.00,,,,,,,,,,,,,,,$687.71,"$1,147.30",fiestaca035@fiestainsurance.com,fiestaca035@fiestainsurance.com,acc@fiestainsurance.com,
CA036,1/31/2013,"$6,077.69",80.00%,"$4,862.15",,,"$4,862.15",$0.00,0,$0.00,$0.00,$0.00,"$4,862.15",,,,,,,$150.00,,,,,,,,-$451.80,,,,,-0.08,,,,,"$1,533.94",,,,,$458.24,,,,,,,,,,,,$10.00,,,,,,,,,,,,,,,"$1,700.30","$3,161.85",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,
CA037,1/31/2013,"$5,363.54",80.00%,"$4,290.83",,,"$4,290.83",$0.00,0,$0.00,$0.00,$0.00,"$4,290.83",,,,,,,$150.00,,,,,,,,-$485.45,,,,,-1.60,,,$25.00,,,,,,,$458.24,,,,,,,,,,,,$20.00,,,,,,,,,,,,,,,$166.19,"$4,124.64",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,
CA038,1/31/2013,"$8,406.09",80.00%,"$6,724.87",,,"$6,724.87",$0.00,0,$0.00,$0.00,$0.00,"$6,724.87",,,,,,,$150.00,,,,,,,,$453.67,,,,,102.96,,,,$50.00,,,,,,$458.24,,,,,,,,,,,,$40.00,$77.88,,,,,,,,,,,,,,"$1,332.75","$5,392.12",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,
CA039,1/31/2013,"$8,905.09",80.00%,"$7,124.07",,,"$7,124.07",$0.00,0,$0.00,$0.00,$0.00,"$7,124.07",,,,,,,$150.00,,,,,,,,-$561.43,,,,,-0.08,,,,,,,,,,$458.24,,,,,,,,,,,,$20.00,,,,,,,,,,,,,,,$66.73,"$7,057.34",fiestaca002@fiestainsurance.com,fiestaca002@fiestainsurance.com,acc@fiestainsurance.com,
CA040,1/31/2013,,75.00%,$0.00,,,$0.00,$0.00,0,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$458.24,,,,,,,,,,,,,,,,,,,,,,,,,,,$458.24,-$458.24,fiestaca040@fiestainsurance.com,fiestaca040@fiestainsurance.com,acc@fiestainsurance.com,
CA041,1/31/2013,"$3,392.05",80.00%,"$2,713.64",,,"$2,713.64",$0.00,0,$0.00,$0.00,$0.00,"$2,713.64",,,,,,,$150.00,,,,,,,,$8.00,,,,,-90.20,,,,,,,,,,$458.24,"$1,487.50",,,,,,,$442.00,,,$91.82,$10.00,,,,,,,,,,,,,,,"$2,557.36",$156.28,fiestaca007@fiestainsurance.com,fiestaca007@fiestainsurance.com,acc@fiestainsurance.com,
CA042,1/31/2013,"$5,791.04",75.00%,"$4,343.28",,,"$4,343.28",$0.00,0,$0.00,$0.00,$0.00,"$4,343.28",,,,,,,$150.00,,,,,,,,$0.04,,,,,-586.09,,,,,,,,,,$458.24,,,,,,,,,,,,$10.00,,,,,,,,,,,,,,,$32.19,"$4,311.09",fiestaca042@fiestainsurance.com,fiestaca042@fiestainsurance.com,acc@fiestainsurance.com,
CA045,1/31/2013,"$2,129.26",77.50%,"$1,650.18",,,"$1,650.18",$0.00,0,$0.00,$0.00,$0.00,"$1,650.18",,,,,,,$150.00,,,,,,,,-$115.00,,,,,5.00,,,$25.00,,,,,,,$458.24,,,,,,,,,,,,,$364.17,,,,,,,,,,,,,,$887.41,$762.77,fiestaca045@fiestainsurance.com,fiestaca045@fiestainsurance.com,acc@fiestainsurance.com,
CA050,1/31/2013,"$3,216.16",75.00%,"$2,412.12",,,"$2,412.12",$0.00,0,$0.00,$0.00,$0.00,"$2,412.12",,,,,,,$150.00,,,,,,,,$52.11,,,,,87.08,,,,$50.00,,,,,,$458.24,,,,,,,,,,,,$10.00,$213.08,,,,,,,,,,,,,,"$1,020.51","$1,391.61",fiestaca050@fiestainsurance.com,fiestaca050@fiestainsurance.com,acc@fiestainsurance.com,
CA051,1/31/2013,$672.54,75.00%,$504.40,,,$504.40,$0.00,0,$0.00,$0.00,$0.00,$504.40,,,,,,,$150.00,,,,,,,,-$558.08,,,,,4.87,,,$50.00,,,,,,,$458.24,,,,,,,,,,,,$20.00,,,,,,,,,,,,,,"$1,781.24",$125.03,"-$1,401.87",fiestaca051@fiestainsurance.com,fiestaca051@fiestainsurance.com,acc@fiestainsurance.com,
CA054,1/31/2013,"$5,842.16",80.00%,"$4,673.73",,,"$4,673.73",$0.00,0,$0.00,$0.00,$0.00,"$4,673.73",,,,,,,$150.00,,,,,,,,$109.68,,,,,335.03,,,$50.00,$250.00,,,,,,$458.24,,,,,,,,,,,,$30.00,,,,,,,,,,,,,,,"$1,382.95","$3,290.78",fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,
CA055,1/31/2013,$600.43,75.00%,$450.32,,,$450.32,$0.00,0,$0.00,$0.00,$0.00,$450.32,,,,,,,$150.00,,,,,,,,$145.74,,,,,-20.00,,,,,,,,,,$458.24,,,,,,,,,,,,$20.00,,,,,,,,,,,,,,,$753.98,-$303.66,fiestaca055@fiestainsurance.com,fiestaca055@fiestainsurance.com,acc@fiestainsurance.com,
CA056,1/31/2013,"$5,158.04",80.00%,"$4,126.43",,,"$4,126.43",$0.00,0,$0.00,$0.00,$0.00,"$4,126.43",,,,,,,$150.00,,,,,,,,-$287.00,,,,,0.02,,,,,,,,,,$458.24,,,,,,,,,,,,$10.00,,,,,,,,,,,,,,,$331.26,"$3,795.17",fiestaca002@fiestainsurance.com,fiestaca002@fiestainsurance.com,acc@fiestainsurance.com,
CA057,1/31/2013,,80.00%,$0.00,,,$0.00,$0.00,0,$0.00,$0.00,$0.00,$0.00,,,,,,,$150.00,,,,,,,,,,,,$44.00,9.11,,,,,,,,,,$458.24,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,000.00",$661.35,"-$1,661.35",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,
CA058,1/31/2013,$625.20,80.00%,$500.16,,,$500.16,$0.00,0,$0.00,$0.00,$0.00,$500.16,,,,,,,$150.00,,,,$752.08,,,,,,,,,181.77,,,,$50.00,,,,,,$458.24,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,592.09","-$1,091.93",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,
CA059,1/31/2013,,80.00%,$0.00,,,$0.00,$0.00,0,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$458.24,,,,,,,,,,,,,,,,,,,,,,,,,$500.00,,$958.24,-$958.24,fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,
CA060,1/31/2013,,80.00%,$0.00,,,$0.00,$0.00,0,$0.00,$0.00,$0.00,$0.00,,,,,,,$150.00,,,,,,,,,,,,$22.00,,,,,,,,,,,$458.24,,,,,,,,,,,,,,,,,,,,,,,,,"$1,000.00",,"$1,630.24","-$1,630.24",fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,
CA064,1/31/2013,,75.00%,$0.00,,,$0.00,$0.00,0,$0.00,$0.00,$0.00,$0.00,,,,,,,$150.00,,,,,,,,,,,,,,,,,,,,,,,$458.24,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,221.00",$608.24,"-$1,829.24",fiestaca064@fiestainsurance.com,fiestaca064@fiestainsurance.com,acc@fiestainsurance.com,
CA065,1/31/2013,$80.31,77.50%,$62.24,,,$62.24,$0.00,0,$0.00,$0.00,$0.00,$62.24,,,,,,,$150.00,,,,$867.76,,,,,,,,,-4.80,,,,,,,,,,$458.24,,,,,,,,,,,,,$213.09,,,,,,,,,,,,,,"$1,684.29","-$1,622.05",fiestaca025@fiestainsurance.com,fiestaca025@fiestainsurance.com,acc@fiestainsurance.com,
CO001,1/31/2013,"$2,194.07",75.00%,"$1,645.55",,,"$1,645.55",$0.00,0,$0.00,$0.00,$0.00,"$1,645.55",,,,,,,$150.00,,,,,,,,$424.10,,,,,,,,$75.00,$50.00,,,,,,$458.24,,,,,,,,,,,,$40.00,,,,,,,,,,,,,,,"$1,197.34",$448.21,fiestaco001@fiestainsurance.com,fiestaco001@fiestainsurance.com,acc@fiestainsurance.com,
CO002,1/31/2013,"$3,288.05",75.00%,"$2,466.04",,,"$2,466.04",$0.00,0,$0.00,$0.00,$0.00,"$2,466.04",,,,,,,$150.00,,,,,,,,$342.34,,,,,74.68,,,$75.00,$100.00,,,,,,$458.23,,,,,,,,,,,,$40.00,,,,,,,,,,,,,,,"$1,240.25","$1,225.79",fiestaco002@fiestainsurance.com,fiestaco002@fiestainsurance.com,acc@fiestainsurance.com,
FL001,1/31/2013,"$12,629.02",75.00%,"$9,471.76",,,"$9,471.76",$0.00,0,$0.00,$0.00,$0.00,"$9,471.76",,,,,,,$150.00,,,,,,,,$97.20,,,,,123.27,,,$175.00,$150.00,,,,,,$458.23,,,,,,,,,,,,$30.00,,,,,,,,,,,,,,,"$1,183.70","$8,288.06",fiestafl001@fiestainsurance.com,fiestafl001@fiestainsurance.com,acc@fiestainsurance.com,
FL002,1/31/2013,"$12,562.81",75.00%,"$9,422.11",,,"$9,422.11",$0.00,0,$0.00,$0.00,$0.00,"$9,422.11",,,,,,,$150.00,,,,,,,,$321.44,,,,,565.20,,,$150.00,$50.00,,,,,,$458.23,,,,,,,,,,,,$20.00,,,,,,,,,,,,,,,"$1,714.87","$7,707.24",fiestafl002@fiestainsurance.com,fiestafl002@fiestainsurance.com,acc@fiestainsurance.com,
FL004,1/31/2013,"$3,677.04",75.00%,"$2,757.78",,,"$2,757.78",$0.00,0,$0.00,$0.00,$0.00,"$2,757.78",,,,,,,$150.00,,,,,,,,$796.42,,,,$61.98,-74.66,,,$150.00,$100.00,,,,,,$458.23,,,,,,,,,,,,$20.00,,,,,,,,,,,,,,,"$1,661.97","$1,095.81",fiestafl004@fiestainsurance.com,fiestafl004@fiestainsurance.com,acc@fiestainsurance.com,
FL005,1/31/2013,"$12,949.99",75.00%,"$9,712.49",,,"$9,712.49",$0.00,0,$0.00,$0.00,$0.00,"$9,712.49",,,,,,,$150.00,,,$8.95,,,,,$13.45,,,,,0.03,,,$50.00,,,,,,,$458.23,,,,,,,,,,,,$30.00,,,,,,,,,,,,,,,$710.66,"$9,001.83",fiestafl005@fiestainsurance.com,fiestafl005@fiestainsurance.com,acc@fiestainsurance.com,
FL006,1/31/2013,"$3,415.38",75.00%,"$2,561.54",,,"$2,561.54",$0.00,0,$0.00,$0.00,$0.00,"$2,561.54",,,,,,,$150.00,,,,,,,,$373.66,,,,,,,,$25.00,,,,,,,$458.23,,,,,,,,,,,,$110.00,,,,,,,,,,,,,,,"$1,116.89","$1,444.65",fiestafl006@fiestainsurance.com,fiestafl006@fiestainsurance.com,acc@fiestainsurance.com,
