Store,Report Date,End of Day Deposit,Actual Deposit,Deposit Over/(Short),Date Deposit Made,End of Day Credit Cards,Actual Credit Cards,Over/(Short) Credit Cards,VOID Credits,Payout To/(From),Payout Check,Scanning Violation Fees,Deposit Violation Fees,A/R Violation Fees,Violation Fees Total,Comments,Report Month,Email,Email 2,Email 3,Email 4,Email 5,Email 6,Email_Store,Month Number
PA002,21-May-18,$304.00 ,$0.00 ,,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaPA002@fiestainsurance.com,5
TX003,21-May-18,$280.10 ,$0.00 ,,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX003@fiestainsurance.com,5
TX008,21-May-18,$597.00 ,$0.00 ,,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX008@fiestainsurance.com,5
TX009,21-May-18,"$1,023.24 ",$0.00 ,,,"$1,410.00 ",$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX009@fiestainsurance.com,5
TX013,21-May-18,"$1,738.76 ",$0.00 ,,,$247.60 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX013@fiestainsurance.com,5
TX014,21-May-18,$198.15 ,$0.00 ,,,$533.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX014@fiestainsurance.com,5
TX015,21-May-18,"$4,012.19 ",$0.00 ,,,$304.98 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX015@fiestainsurance.com,5
TX017,21-May-18,"$1,514.24 ",$0.00 ,,,"$1,024.34 ",$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX017@fiestainsurance.com,5
TX018,21-May-18,"$1,870.11 ",$0.00 ,,,$751.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX018@fiestainsurance.com,5
TX019,21-May-18,"$1,899.25 ",$0.00 ,,,$56.37 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX019@fiestainsurance.com,5
TX020,21-May-18,$309.32 ,$0.00 ,,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX020@fiestainsurance.com,5
TX022,21-May-18,$273.46 ,$0.00 ,,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX022@fiestainsurance.com,5
TX023,21-May-18,$100.00 ,$0.00 ,,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX023@fiestainsurance.com,5
TX030,21-May-18,($223.98),$0.00 ,,,$579.92 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX030@fiestainsurance.com,5
TX031,21-May-18,"$1,232.59 ",$0.00 ,,,$198.34 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX031@fiestainsurance.com,5
TX032,21-May-18,$262.67 ,$0.00 ,,,$705.35 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX032@fiestainsurance.com,5
TX033,21-May-18,"$1,415.21 ",$0.00 ,,,$50.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX033@fiestainsurance.com,5
TX034,21-May-18,$524.00 ,$0.00 ,,,$91.50 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX034@fiestainsurance.com,5
TX038,21-May-18,$266.29 ,$0.00 ,,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX038@fiestainsurance.com,5
TX039,21-May-18,$594.35 ,$0.00 ,,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX039@fiestainsurance.com,5
TX040,21-May-18,$394.62 ,$0.00 ,,,$121.20 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX040@fiestainsurance.com,5
TX041,21-May-18,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX041@fiestainsurance.com,5
TX042,21-May-18,$50.00 ,$0.00 ,,,$230.30 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX042@fiestainsurance.com,5
TX043,21-May-18,$69.81 ,$0.00 ,,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX043@fiestainsurance.com,5
TX045,21-May-18,$47.27 ,$0.00 ,,,$556.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX045@fiestainsurance.com,5
TX046,21-May-18,$389.36 ,$0.00 ,,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX046@fiestainsurance.com,5
TX047,21-May-18,$433.19 ,$0.00 ,,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTX047@fiestainsurance.com,5
TN002,21-May-18,"$2,439.60 ",$0.00 ,,,$172.20 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaTN002@fiestainsurance.com,5
