Store,Report Date,End of Day Deposit,Actual Deposit,Deposit Over/(Short),Date Deposit Made,End of Day Credit Cards,Actual Credit Cards,Over/(Short) Credit Cards,VOID Credits,Payout To/(From),Payout Check,Scanning Violation Fees,Deposit Violation Fees,A/R Violation Fees,Violation Fees Total,Comments,Email,Email 2,Email 3,Email 4,Email 5,Email 6,Email_Store,Month Number,Report Month
CA011,10-Jul-18,"2,017.30",0,,,582,0,,0,,0,0,0,0,,,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA011@fiestainsurance.com,7,
CA012,10-Jul-18,"7,137.45",0,,,853,0,,0,,0,0,0,0,,,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA012@fiestainsurance.com,7,
CA013,10-Jul-18,"1,474.67",0,,,0,0,,0,,0,0,0,0,,,fiestaca013@fiestainsurance.com,fiestaca013@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA013@fiestainsurance.com,7,
CA015,10-Jul-18,"3,506.16",0,,,663.07,0,,0,,0,0,0,0,,,fiestaca007@fiestainsurance.com,fiestaca015@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA015@fiestainsurance.com,7,
CA016,10-Jul-18,"1,013.89",0,,,"1,027.00",0,,0,,0,0,0,0,,,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA016@fiestainsurance.com,7,
CA019,10-Jul-18,625.45,0,,,60,0,,0,,0,0,0,0,,,fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA019@fiestainsurance.com,7,
CA020,10-Jul-18,594.67,0,,,650.36,0,,0,,0,0,0,0,,,fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA020@fiestainsurance.com,7,
CA022,10-Jul-18,"2,286.86",0,,,197,0,,0,,0,0,0,0,,,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA022@fiestainsurance.com,7,
CA023,10-Jul-18,"3,587.04",0,,,483,0,,0,,0,0,0,0,,,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA023@fiestainsurance.com,7,
CA024,10-Jul-18,"2,405.19",0,,,688,0,,0,,0,0,0,0,,,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA024@fiestainsurance.com,7,
CA025,10-Jul-18,870.58,0,,,230,0,,0,,0,0,0,0,,,fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA025@fiestainsurance.com,7,
CA026,10-Jul-18,"4,269.22",0,,,"1,471.00",0,,0,,0,0,0,0,,,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA026@fiestainsurance.com,7,
CA027,10-Jul-18,"4,884.22",0,,,0,0,,0,,0,0,0,0,,,fiestaca027@fiestainsurance.com,fiestaca027@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA027@fiestainsurance.com,7,
CA028,10-Jul-18,890.94,0,,,404.95,0,,0,,0,0,0,0,,,fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA028@fiestainsurance.com,7,
CA030,10-Jul-18,"4,140.33",0,,,"1,222.13",0,,0,,0,0,0,0,,,fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA030@fiestainsurance.com,7,
CA031,10-Jul-18,"1,934.06",0,,,0,0,,0,,0,0,0,0,,,fiestaca031@fiestainsurance.com,fiestaca031@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA031@fiestainsurance.com,7,
CA032,10-Jul-18,"4,416.99",0,,,439,0,,0,,0,0,0,0,,,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA032@fiestainsurance.com,7,
CA033,10-Jul-18,"6,734.84",0,,,"1,267.00",0,,0,,0,0,0,0,,,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA033@fiestainsurance.com,7,
CA034,10-Jul-18,"1,016.80",0,,,0,0,,0,,0,0,0,0,,,fiestaca034@fiestainsurance.com,fiestaca034@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA034@fiestainsurance.com,7,
CA035,10-Jul-18,"1,270.40",0,,,139.16,0,,0,,0,0,0,0,,,fiestaca035@fiestainsurance.com,fiestaca035@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA035@fiestainsurance.com,7,
CA036,10-Jul-18,"2,847.94",0,,,654,0,,0,,0,0,0,0,,,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA036@fiestainsurance.com,7,
CA037,10-Jul-18,"2,591.45",0,,,580,0,,0,,0,0,0,0,,,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA037@fiestainsurance.com,7,
CA038,10-Jul-18,"3,036.14",0,,,184.96,0,,0,,0,0,0,0,,,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA038@fiestainsurance.com,7,
CA039,10-Jul-18,"1,853.73",0,,,380,0,,0,,0,0,0,0,,,fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA039@fiestainsurance.com,7,
CA040,10-Jul-18,223.34,0,,,390,0,,0,,0,0,0,0,,,fiestaca082@fiestainsurance.com,fiestaca082@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA040@fiestainsurance.com,7,
CA041,10-Jul-18,178,0,,,468.63,0,,0,,0,0,0,0,,,fiestaca041@fiestainsurance.com,fiestaca041@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA041@fiestainsurance.com,7,
CA042,10-Jul-18,"2,506.04",0,,,233.33,0,,0,,0,0,0,0,,,fiestaca099@fiestainsurance.com,fiestaca099@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA042@fiestainsurance.com,7,
CA043,10-Jul-18,"3,412.77",0,,,34,0,,0,,0,0,0,0,,,fiestaca042@fiestainsurance.com,fiestaca042@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA043@fiestainsurance.com,7,
CA044,10-Jul-18,"3,744.86",0,,,230,0,,0,,0,0,0,0,,,fiestaca042@fiestainsurance.com,fiestaca042@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA044@fiestainsurance.com,7,
CA045,10-Jul-18,"5,175.02",0,,,"1,163.76",0,,0,,0,0,0,0,,,fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA045@fiestainsurance.com,7,
CA046,10-Jul-18,"1,001.03",0,,,250,0,,0,,0,0,0,0,,,fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA046@fiestainsurance.com,7,
CA047,10-Jul-18,733,0,,,0,0,,0,,0,0,0,0,,,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA047@fiestainsurance.com,7,
CA048,10-Jul-18,139.74,0,,,0,0,,0,,0,0,0,0,,,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA048@fiestainsurance.com,7,
CA049,10-Jul-18,153,0,,,0,0,,0,,0,0,0,0,,,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA049@fiestainsurance.com,7,
CA050,10-Jul-18,"2,106.91",0,,,"3,217.00",0,,0,,0,0,0,0,,,fiestaca050@fiestainsurance.com,fiestaca066@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA050@fiestainsurance.com,7,
CA054,10-Jul-18,"3,349.60",0,,,105,0,,0,,0,0,0,0,,,fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA054@fiestainsurance.com,7,
CA056,10-Jul-18,"4,662.66",0,,,655,0,,0,,0,0,0,0,,,fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA056@fiestainsurance.com,7,
CA057,10-Jul-18,"2,216.84",0,,,"1,094.00",0,,0,,0,0,0,0,,,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA057@fiestainsurance.com,7,
CA058,10-Jul-18,552.19,0,,,185,0,,0,,0,0,0,0,,,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA058@fiestainsurance.com,7,
CA059,10-Jul-18,"2,596.35",0,,,"1,355.00",0,,0,,0,0,0,0,,,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA059@fiestainsurance.com,7,
CA060,10-Jul-18,"1,463.73",0,,,0,0,,0,,0,0,0,0,,,fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA060@fiestainsurance.com,7,
CA061,10-Jul-18,"1,006.23",0,,,107.93,0,,0,,0,0,0,0,,,fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA061@fiestainsurance.com,7,
CA062,10-Jul-18,554.36,0,,,581.92,0,,0,,0,0,0,0,,,fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA062@fiestainsurance.com,7,
CA065,10-Jul-18,"2,179.13",0,,,"1,593.67",0,,0,,0,0,0,0,,,fiestaca065@fiestainsurance.com,fiestaca065_2@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA065@fiestainsurance.com,7,
CA066,10-Jul-18,650.35,0,,,284,0,,0,,0,0,0,0,,,fiestaca050@fiestainsurance.com,fiestaca066@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA066@fiestainsurance.com,7,
CA067,10-Jul-18,983.06,0,,,0,0,,0,,0,0,0,0,,,fiestaca050@fiestainsurance.com,fiestaca066@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA067@fiestainsurance.com,7,
CA068,10-Jul-18,642.69,0,,,316,0,,0,,0,0,0,0,,,fiestaca050@fiestainsurance.com,fiestaca066@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA068@fiestainsurance.com,7,
CA069,10-Jul-18,0,0,,,0,0,,0,,0,0,0,0,,,fiestaca031@fiestainsurance.com,fiestaca031@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA069@fiestainsurance.com,7,
CA070,10-Jul-18,266.54,0,,,192.21,0,,0,,0,0,0,0,,,fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA070@fiestainsurance.com,7,
CA071,10-Jul-18,96.16,0,,,0,0,,0,,0,0,0,0,,,fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA071@fiestainsurance.com,7,
CA072,10-Jul-18,"1,454.74",0,,,867.83,0,,0,,0,0,0,0,,,fiestaca072@fiestainsurance.com,fiestaca072@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA072@fiestainsurance.com,7,
CA074,10-Jul-18,"1,172.84",0,,,"2,224.00",0,,0,,0,0,0,0,,,fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA074@fiestainsurance.com,7,
CA075,10-Jul-18,512.67,0,,,0,0,,0,,0,0,0,0,,,fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA075@fiestainsurance.com,7,
CA076,10-Jul-18,"1,978.46",0,,,517,0,,0,,0,0,0,0,,,fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA076@fiestainsurance.com,7,
CA078,10-Jul-18,"1,136.46",0,,,0,0,,0,,0,0,0,0,,,fiestaca078@fiestainsurance.com,fiestaca078@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA078@fiestainsurance.com,7,
CA079,10-Jul-18,766.09,0,,,232,0,,0,,0,0,0,0,,,fiestaca082@fiestainsurance.com,fiestaca082@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA079@fiestainsurance.com,7,
CA080,10-Jul-18,"1,255.93",0,,,631,0,,0,,0,0,0,0,,,fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA080@fiestainsurance.com,7,
CA082,10-Jul-18,49,0,,,0,0,,0,,0,0,0,0,,,fiestaca082@fiestainsurance.com,fiestaca082@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA082@fiestainsurance.com,7,
CA083,10-Jul-18,290.93,0,,,"2,504.00",0,,0,,0,0,0,0,,,fiestaca083@fiestainsurance.com,fiestaca083@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA083@fiestainsurance.com,7,
CA085,10-Jul-18,"1,470.74",0,,,274,0,,0,,0,0,0,0,,,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA085@fiestainsurance.com,7,
CA088,10-Jul-18,989.33,0,,,0,0,,0,,0,0,0,0,,,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA088@fiestainsurance.com,7,
CA089,10-Jul-18,"2,175.95",0,,,579,0,,0,,0,0,0,0,,,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA089@fiestainsurance.com,7,
CA090,10-Jul-18,"3,320.78",0,,,0,0,,0,,0,0,0,0,,,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA090@fiestainsurance.com,7,
CA091,10-Jul-18,776.8,0,,,"2,112.00",0,,0,,0,0,0,0,,,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA091@fiestainsurance.com,7,
CA093,10-Jul-18,736.18,0,,,467.07,0,,0,,0,0,0,0,,,fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA093@fiestainsurance.com,7,
CA095,10-Jul-18,644.31,0,,,0,0,,0,,0,0,0,0,,,fiestaca095@fiestainsurance.com,fiestaca095@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA095@fiestainsurance.com,7,
CA096,10-Jul-18,"1,145.91",0,,,398.03,0,,0,,0,0,0,0,,,fiestaca098@fiestainsurance.com,fiestaca098@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA096@fiestainsurance.com,7,
CA098,10-Jul-18,"1,554.15",0,,,0,0,,0,,0,0,0,0,,,fiestaca098@fiestainsurance.com,fiestaca098@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA098@fiestainsurance.com,7,
CA099,10-Jul-18,"2,990.57",0,,,"2,718.42",0,,0,,0,0,0,0,,,fiestaca099@fiestainsurance.com,fiestaca099@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA099@fiestainsurance.com,7,
CA102,10-Jul-18,630.25,0,,,409.65,0,,0,,0,0,0,0,,,fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA102@fiestainsurance.com,7,
CA103,10-Jul-18,"1,168.93",0,,,253,0,,0,,0,0,0,0,,,fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA103@fiestainsurance.com,7,
CA104,10-Jul-18,"3,391.30",0,,,145.83,0,,0,,0,0,0,0,,,fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA104@fiestainsurance.com,7,
CA106,10-Jul-18,"1,572.71",0,,,145,0,,0,,0,0,0,0,,,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA106@fiestainsurance.com,7,
CA107,10-Jul-18,727.51,0,,,0,0,,0,,0,0,0,0,,,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA107@fiestainsurance.com,7,
CA110,10-Jul-18,"1,159.50",0,,,0,0,,0,,0,0,0,0,,,fiestaca014@fiestainsurance.com,fiestaca083@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA110@fiestainsurance.com,7,
