Store,Date,Gross Commissions,Commissions Percentage Tier 1,Commissions Tier 1,Commissions Percentage Tier 2,Commissions Tier 2,Total Commissions,Tax Preparation Revenue,Number of Tax Returns,Royalty Per Return,Tax Royalties,Net Tax Revenue,Total Revenue,Hourly Wages,Overtime,Bonus & Commissions,Payroll Taxes - ER,Workers Comp Insurance,Payroll Processing Fees,Policy Manager,Licenses and Permits,Rating Software,Motor Vehicle Reports,Loan Due From Franchisee,Minimum Royalty Fee,Servicing Fee,Trade Shows,Trust Acctg - A/R,Telephone,Postage,Television/Radio,Licenses & Permits,Trust Acct Shortage/Overage,Internet,On Hold Recording,Scanning Violation Penalty,Deposit Violation Penalty,Bad Debts,Print,Reimbursed Fees - Other,Gas,D&S Memberships,E&O Insurance,Rent,Supplies,Building/Office,Referral Fees,Small Equip Purchases Under$500,Small FF&E Under$500,Legal Fees,CAM Charges,Cell Phone,Security,Electricity,Accounting Violation Penalty,Advertising,DOI Appointment Fees,Notes,DOI License Fee,Entrepreneur Magazine,Franchise Gator Leads,Franchise Guide Supplies,Franchise Times Magazine,Leads,SEO (Search Engine Optimization),Renewals,Tax Software & Services,Other Transactions,Previous Unpaid Balance,Total Deductions,Balance Due To/(From) Franchise,Email,Email 2,Email 3,Email 4,Email 5,
CA011,31-May-18,"$21,412.16",85.00%,"$5,450.34",80.00%,"$12,000.00","$17,450.34","$5,721.00",64,$30.00,"-$1,920.00","$3,801.00","$21,251.34",,,,,,,$200.00,,,,"$1,600.00",,,,$61.00,,,,,,,,,,,,,,,,,,,,,,,,,,,$60.00,"$1,760.48",,,,,,,,,,,,,,"$3,681.48","$17,569.86",fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA012,31-May-18,"$123,362.72",85.00%,"$92,108.31",80.00%,"$12,000.00","$104,108.31","$13,956.00",209,$30.00,"-$6,270.00","$7,686.00","$111,794.31",,,,,,,$200.00,,,,"$5,225.00",,,,$63.00,,,,,-$0.10,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$70.00,"$1,210.48",,,,,,,,,,"$2,000.00",,,,"$8,843.38","$102,950.93",fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA013,31-May-18,"$16,000.51",80.00%,$800.41,75.00%,"$11,250.00","$12,050.41",$500.00,2,$30.00,-$60.00,$440.00,"$12,490.41",,,,,,,$200.00,,,,,,,,"$3,897.02",,,,,$80.74,,,$25.00,$300.00,,,,,,,,,,,,,,,,,,$240.00,"$1,268.75",,,,,,,,,,,,,,"$6,011.51","$6,478.90",fiestaca013@fiestainsurance.com,fiestaca013@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA014,31-May-18,"$11,765.64",80.00%,"$9,412.51",,,"$9,412.51",$0.00,1,$30.00,-$30.00,-$30.00,"$9,382.51",,,,,,,$200.00,,,,,,,,,,,,,,,,-$25.00,,,,,,,,,,,,,,,,,,,-$100.00,"$1,200.00",,,,,,,,,,,,,,"$1,275.00","$8,107.51",fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA015,31-May-18,"$22,558.86",85.00%,"$6,425.03",80.00%,"$12,000.00","$18,425.03","$1,146.05",19,$30.00,-$570.00,$576.05,"$19,001.08",,,,,,,$200.00,,,,"$1,875.07",,,,$13.89,,,,,-$0.40,,,$25.00,$50.00,,,,,,,"$4,611.07",,,,,,,$620.00,,,$298.42,$260.00,"$1,200.00",,,,,,,,,,,,,,"$9,153.05","$9,848.03",fiestaca007@fiestainsurance.com,fiestaca007@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA016,31-May-18,"$20,515.11",85.00%,"$4,687.84",80.00%,"$12,000.00","$16,687.84",$935.00,9,$30.00,-$270.00,$665.00,"$17,352.84",,,,,,,$200.00,,,$22.95,$225.00,,,,,,,,,,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$40.00,"$1,210.48",,,,,,,,,,,,,,"$1,773.43","$15,579.41",fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA019,31-May-18,"$9,774.67",80.00%,"$7,819.74",,,"$7,819.74","$5,811.10",36,$30.00,"-$1,080.00","$4,731.10","$12,550.84",,,,,,,$200.00,,,,,,,,$395.21,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,,$50.00,"$1,200.00",,,,,,,,,,"$2,000.00",,,,"$3,870.21","$8,680.63",fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA020,31-May-18,"$11,070.57",80.00%,"$8,856.46",,,"$8,856.46","$2,538.05",14,$30.00,-$420.00,"$2,118.05","$10,974.51",,,,,,,$200.00,,,,,,,,,,,,$29.00,,,,$25.00,,,,,,,,,,,,,,,,,,,-$30.00,"$1,200.00",,,,,,,,,,,,,,"$1,424.00","$9,550.51",fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA022,31-May-18,"$15,224.07",85.00%,$190.46,80.00%,"$12,000.00","$12,190.46","$1,502.00",25,$30.00,-$750.00,$752.00,"$12,942.46",,,,,,,$200.00,,,$20.40,$625.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,760.48",,,,,,,,,,,,,,"$2,605.88","$10,336.58",fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA023,31-May-18,"$23,306.81",85.00%,"$7,060.79",80.00%,"$12,000.00","$19,060.79","$9,052.90",47,$30.00,"-$1,410.00","$7,642.90","$26,703.69",,,,,,,$200.00,,,,,,,,$745.81,,,,$29.00,,,,,,,,,,,,,,,,,,,,,,,$220.00,"$1,210.48",,,,,,,,,,,,,,"$2,405.29","$24,298.40",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA024,31-May-18,"$16,936.67",85.00%,"$1,646.17",80.00%,"$12,000.00","$13,646.17","$8,530.00",40,$30.00,"-$1,200.00","$7,330.00","$20,976.17",,,,,,,$200.00,,,$17.85,,,,,$0.20,,,,,,,,-$75.00,-$50.00,,,,,,,,,,,,,,,,,,$50.00,"$1,210.48",,,,,,,,,,,,,,"$1,353.53","$19,622.64",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA025,31-May-18,"$5,578.66",77.50%,"$4,323.46",,,"$4,323.46",$770.05,20,$30.00,-$600.00,$170.05,"$4,493.51",,,,,,,$200.00,,,,,,,,$293.27,,,,,-$0.05,,,$100.00,$50.00,,,,,,,,,,,,,,,,,,-$420.00,"$1,489.79",,,,,,,,,,,,,,"$1,713.01","$2,780.50",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA026,31-May-18,"$530,820.78",85.00%,"$438,447.66",80.00%,"$12,000.00","$450,447.66","$16,904.24",98,$30.00,"-$2,940.00","$13,964.24","$464,411.90",,,,,,,$200.00,,,$79.05,,,,,$336.79,,,,,-$2.00,,,$25.00,$100.00,,,,,,,,,,,,,,,,,,$800.00,"$1,210.47",,,,,,,,,,,,,,"$2,749.31","$461,662.59",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA027,31-May-18,"$17,459.28",80.00%,"$1,967.42",75.00%,"$11,250.00","$13,217.42","$2,255.10",120,$30.00,"-$3,600.00","-$1,344.90","$11,872.52",,,,,,,$200.00,,,,,,,,$80.38,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,,$100.00,"$1,200.00",,,,,,,,,,,,,,"$1,630.38","$10,242.14",fiestaca027@fiestainsurance.com,fiestaca027@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA028,31-May-18,"$17,441.22",85.00%,"$2,075.04",80.00%,"$12,000.00","$14,075.04",$545.00,55,$30.00,"-$1,650.00","-$1,105.00","$12,970.04",,,,,,,$200.00,,,,,,,,$121.00,,,,,-$548.08,,,-$50.00,-$100.00,,,,,,,,,,,,,,,,,,-$220.00,"$1,200.00",,,,,,,,,,,,,,$602.92,"$12,367.12",fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA030,31-May-18,"$51,782.73",85.00%,"$31,265.32",80.00%,"$12,000.00","$43,265.32","$14,722.05",161,$30.00,"-$4,830.00","$9,892.05","$53,157.37",,,,,,,$200.00,,,,,,,,"$1,453.21",,,,,,,,-$75.00,$200.00,,,,,,,,,,,,,,,,,,$710.00,"$1,551.45",,,,,,,,,,,,,,"$4,039.66","$49,117.71",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA031,31-May-18,"$53,630.16",82.50%,"$31,869.88",77.50%,"$11,625.00","$43,494.88","$2,257.00",56,$30.00,"-$1,680.00",$577.00,"$44,071.88",,,,,,,$200.00,,,$22.95,,,,,$71.75,,,,,,,,$375.00,-$50.00,,,,,,,,,,,,,,,,,,-$70.00,"$1,200.00",,,,,,,,,,,,,,"$1,749.70","$42,322.18",fiestaca031@fiestainsurance.com,fiestaca031@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA032,31-May-18,"$30,016.32",85.00%,"$12,763.87",80.00%,"$12,000.00","$24,763.87","$9,152.95",48,$30.00,"-$1,440.00","$7,712.95","$32,476.82",,,,,,,$200.00,,,$15.30,,,,,$149.70,,,,,,,,,-$50.00,,,,,,,,,,,,,,,,,,$160.00,"$1,210.47",,,,,,,,,,,,,,"$1,685.47","$30,791.35",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA033,31-May-18,"$51,851.32",85.00%,"$31,323.62",80.00%,"$12,000.00","$43,323.62","$11,392.05",63,$30.00,"-$1,890.00","$9,502.05","$52,825.67",,,,,,,$200.00,,,,,,,,$394.85,,,,$29.00,,,,-$50.00,$100.00,,,,,,,,,,,,,,,,,,$370.00,"$1,395.10",,,,,,,,,,,,,,"$2,438.95","$50,386.72",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA034,31-May-18,"$13,498.25",75.00%,"$10,123.69",,,"$10,123.69","$7,260.10",115,$30.00,"-$3,450.00","$3,810.10","$13,933.79",,,,,,,$200.00,,,,,,,,$279.57,,,,,,,,,$50.00,,,,,,,,,,,,,,,,,$350.89,$80.00,"$1,200.00",,,,,,,,,,,,,,"$2,160.46","$11,773.33",fiestaca034@fiestainsurance.com,fiestaca034@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA035,31-May-18,"$21,005.34",80.00%,"$4,804.27",75.00%,"$11,250.00","$16,054.27","$37,920.95",124,$30.00,"-$3,720.00","$34,200.95","$50,255.22",,,,,,,$200.00,,,,,,,,$821.93,,,,$29.00,,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$130.00,"$1,200.00",,,,,,,,,,,,,,"$2,455.93","$47,799.29",fiestaca035@fiestainsurance.com,fiestaca035@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA036,31-May-18,"$16,934.26",85.00%,"$1,644.12",80.00%,"$12,000.00","$13,644.12","$10,099.20",49,$30.00,"-$1,470.00","$8,629.20","$22,273.32",,,,,,,$200.00,,,$15.30,,,,,$1.00,,,,,$0.07,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$130.00,"$1,210.47",,,,,,,,,,,,,,"$1,631.84","$20,641.48",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA037,31-May-18,"$24,555.86",85.00%,"$8,122.48",80.00%,"$12,000.00","$20,122.48","$3,639.76",50,$30.00,"-$1,500.00","$2,139.76","$22,262.24",,,,,,,$200.00,,,$20.40,,,,,$0.11,,,,$29.00,,,,-$25.00,,,,,,,,,,,,,,,,,,,$50.00,"$1,760.47",,,,,,,,,,,,,,"$2,034.98","$20,227.26",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA038,31-May-18,"$30,928.73",85.00%,"$13,539.42",80.00%,"$12,000.00","$25,539.42","$10,025.12",85,$30.00,"-$2,550.00","$7,475.12","$33,014.54",,,,,,,$200.00,,,,,,,,$21.40,,,,,,,,,,,,,,,,,,,,,,,,,,,$210.00,"$1,491.36",,,,,,,,,,,,,,"$1,922.76","$31,091.78",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA039,31-May-18,"$18,811.82",85.00%,"$3,240.05",80.00%,"$12,000.00","$15,240.05","$2,248.00",38,$30.00,"-$1,140.00","$1,108.00","$16,348.05",,,,,,,$200.00,,,,,,,,$16.10,,,,,$0.04,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$160.00,"$1,200.00",,,,,,,,,,,,,,"$1,651.14","$14,696.91",fiestaca002@fiestainsurance.com,fiestaca002@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA040,31-May-18,"$8,103.53",80.00%,"$6,482.82",,,"$6,482.82","$9,405.00",42,$30.00,"-$1,260.00","$8,145.00","$14,627.82",,,,,,,$200.00,,,,"$1,050.00",,,,$306.00,,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,$20.00,"$1,200.00",,,,,,,,,,"$2,000.00",,,,"$4,826.00","$9,801.82",fiestaca082@fiestainsurance.com,fiestaca082@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA041,31-May-18,"$17,638.68",80.00%,"$2,110.94",75.00%,"$11,250.00","$13,360.94",$0.00,0,$0.00,$0.00,$0.00,"$13,360.94",,,,,,,$200.00,,,,,,,,"$1,190.98",,,,,-$20.00,,,$25.00,,,,,,,,,,,,,,,,,,$72.58,$10.00,"$1,200.00",,,,,,,,,,,,,,"$2,678.56","$10,682.38",fiestaca041@fiestainsurance.com,fiestaca041@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA042,31-May-18,"$22,897.27",85.00%,"$6,712.68",80.00%,"$12,000.00","$18,712.68","$6,389.00",131,$30.00,"-$3,930.00","$2,459.00","$21,171.68",,,,,,,$200.00,,,,"$4,061.30",,,,"$1,094.96",,,,,-$13.00,,,$75.00,$150.00,,,,,,,,,,,,,,,,,,$230.00,"$1,200.00",,,,,,,,,,,,,,"$6,998.26","$14,173.42",fiestaca099@fiestainsurance.com,fiestaca099@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA043,31-May-18,"$17,858.63",82.50%,"$2,358.37",77.50%,"$11,625.00","$13,983.37","$1,785.00",55,$30.00,"-$1,650.00",$135.00,"$14,118.37",,,,,,,$200.00,,,,,,,,$215.10,,,,,,,,-$25.00,-$200.00,,,,,,,,,,,,,,,,,,$110.00,"$1,200.00",,,,,,,,,,,,,,"$1,500.10","$12,618.27",fiestaca042@fiestainsurance.com,fiestaca042@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA044,31-May-18,"$13,461.59",77.50%,"$10,432.73",,,"$10,432.73","$4,156.05",26,$30.00,-$780.00,"$3,376.05","$13,808.78",,,,,,,$200.00,,,,,,,,$80.87,,,,,,,,,$200.00,,,,,,,,,,,,,,,,,,-$50.00,"$1,200.00",,,,,,,,,,,,,,"$1,630.87","$12,177.91",fiestaca042@fiestainsurance.com,fiestaca042@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA045,31-May-18,"$16,646.26",85.00%,"$1,399.32",80.00%,"$12,000.00","$13,399.32","$8,528.25",172,$30.00,"-$5,160.00","$3,368.25","$16,767.57",,,,,,,$200.00,,,,,,,,$247.78,,,,,$0.02,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$390.00,"$1,551.46",,,,,,,,,,,,,,"$2,464.26","$14,303.31",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA046,31-May-18,"$3,603.44",80.00%,"$2,882.75",,,"$2,882.75",$347.00,8,$30.00,-$240.00,$107.00,"$2,989.75",,,,,,,$200.00,,,,,,,,$144.05,,,,,,,,,$100.00,,,,,,,,,,,,,,,,,,-$110.00,"$1,419.21",,,,,,,,,,,,,,"$1,753.26","$1,236.49",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA047,31-May-18,"$9,834.66",80.00%,"$7,867.73",,,"$7,867.73",$0.00,0,$0.00,$0.00,$0.00,"$7,867.73",,,,,,,$200.00,,,$25.50,,,,,$0.01,,,,,-$19.32,,,,$50.00,,,,,,,,,,,,,,,,,,$200.00,"$1,210.47",,,,,,,,,,,,,,"$1,666.66","$6,201.07",fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA048,31-May-18,"$1,932.76",80.00%,"$1,546.21",,,"$1,546.21",$250.00,0,$0.00,$0.00,$250.00,"$1,796.21",,,,,,,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$20.00,"$1,200.00",,,,,,,,,,,,,,"$1,420.00",$376.21,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA049,31-May-18,$142.83,80.00%,$114.26,,,$114.26,$200.00,6,$30.00,-$180.00,$20.00,$134.26,,,,,,,$200.00,,,,$150.00,,,,,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$375.00,-$240.74,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA050,31-May-18,"$31,551.07",85.00%,"$14,068.41",80.00%,"$12,000.00","$26,068.41","$16,233.00",93,$30.00,"-$2,790.00","$13,443.00","$39,511.41",,,,,,,$200.00,,,$51.00,"$2,325.00",,,,$212.58,,,,,,,,,,,,,,,,,,,,,,,,,,,$240.00,"$1,490.00",,,,,,,,,,,,,,"$4,518.58","$34,992.83",fiestaca050@fiestainsurance.com,fiestaca050@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA054,31-May-18,"$17,662.17",85.00%,"$2,262.84",80.00%,"$12,000.00","$14,262.84","$2,002.00",42,$30.00,"-$1,260.00",$742.00,"$15,004.84",,,,,,,$200.00,,,$22.95,"$1,075.00",,,,"$1,830.06",,,,,-$571.51,,,,$100.00,,,,,,,,,,,,,,,,,,$110.00,"$1,200.00",,,,,,,,,,,,,,"$3,966.50","$11,038.34",fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
